unitid,"cipcode",awlevel,_type_,_freq_,crace15,crace16
100858,"44.0000",7,7,1,1,
100858,"45.0000",5,7,7,99,49
100858,"45.0000",7,7,3,7,5
100858,"45.0000",9,7,1,1,1
100858,"50.0000",5,7,7,59,54
100858,"50.0000",7,7,1,1,1
100858,"99.0000",5,7,1,1938,1499
100858,"99.0000",7,7,1,254,211
100858,"99.0000",8,7,1,2,
100858,"99.0000",9,7,1,77,36
100858,"99.0000",10,7,1,58,36
100919,"01.0000",3,7,1,5,3
100919,"07.0000",1,7,2,0,36
100919,"07.0000",2,7,4,4,17
100919,"07.0000",3,7,2,10,20
100919,"08.0000",2,7,1,0,1
100919,"08.0000",3,7,1,1,1
100919,"15.0000",3,7,1,5,3
100919,"17.0000",1,7,1,55,18
100919,"17.0000",2,7,2,8,82
100919,"20.0000",2,7,1,3,2
100919,"46.0000",1,7,1,5,0
100919,"46.0000",2,7,1,11,0
100919,"46.0000",3,7,1,6,0
100919,"47.0000",2,7,6,81,3
100919,"47.0000",3,7,2,37,2
100919,"48.0000",2,7,5,28,11
100919,"48.0000",3,7,1,3,0
100919,"99.0000",1,7,1,60,54
100919,"99.0000",2,7,1,135,116
100919,"99.0000",3,7,1,67,29
100928,"95.0000",5,7,1,5,1
100928,"99.0000",5,7,1,5,1
100937,"06.0000",5,7,5,55,45
100937,"06.0000",7,7,3,10,9
100937,"11.0000",5,7,1,4,4
100937,"13.0000",5,7,3,1,25
100937,"13.0000",7,7,1,0,1
100937,"16.0000",5,7,1,1,0
100937,"18.0000",5,7,1,0,13
100937,"23.0000",5,7,1,7,6
100937,"26.0000",5,7,1,12,5
100937,"27.0000",5,7,1,6,5
100937,"30.0000",5,7,1,13,16
100937,"38.0000",5,7,1,3,1
100937,"40.0000",5,7,2,8,2
100937,"42.0000",5,7,1,4,8
100937,"45.0000",5,7,5,25,10
100937,"50.0000",5,7,3,11,11
100937,"99.0000",5,7,1,150,151
100937,"99.0000",7,7,1,10,10
100964,"06.0000",3,7,3,11,10
100964,"07.0000",3,7,1,,5
100964,"11.0000",3,7,2,2,2
100964,"14.0000",3,7,1,1,
100964,"17.0000",3,7,2,1,2
100964,"20.0000",3,7,1,,1
100964,"24.0000",3,7,1,9,14
100964,"99.0000",3,7,1,24,34
100973,"07.0000",2,7,1,0,25
100973,"12.0000",2,7,1,2,12
100973,"20.0000",2,7,1,0,8
100973,"46.0000",2,7,3,11,1
100973,"46.0000",4,7,1,3,1
100973,"47.0000",2,7,2,4,5
100973,"47.0000",4,7,2,5,0
100973,"48.0000",2,7,1,1,7
100973,"48.0000",4,7,1,2,5
100973,"99.0000",2,7,1,18,58
100973,"99.0000",4,7,1,10,6
100991,"07.0000",2,7,2,,18
100991,"07.0000",3,7,1,1,11
100991,"12.0000",2,7,1,9,11
100991,"20.0000",2,7,2,6,28
100991,"46.0000",2,7,2,8,1
100991,"47.0000",2,7,2,5,2
100991,"48.0000",2,7,1,10,1
100991,"99.0000",2,7,1,38,61
100991,"99.0000",3,7,1,1,11
101028,"06.0000",3,7,4,7,13
101028,"07.0000",3,7,2,,11
101028,"13.0000",3,7,2,1,2
101028,"14.0000",3,7,1,5,2
101028,"17.0000",3,7,1,1,8
101028,"18.0000",3,7,1,1,23
101028,"24.0000",3,7,1,7,17
101028,"43.0000",3,7,1,6,1
101028,"99.0000",3,7,1,28,77
101037,"07.0000",2,7,2,,14
101037,"11.0000",2,7,1,1,4
101037,"12.0000",2,7,1,,14
101037,"17.0000",2,7,2,1,33
101037,"46.0000",2,7,3,9,0
101037,"47.0000",2,7,4,10,0
101037,"47.0000",3,7,2,3,1
101037,"48.0000",2,7,2,6,1
101037,"48.0000",3,7,2,2,0
101037,"99.0000",2,7,1,27,66
