unitid,cipcode,awlevel,_type_,_freq_,crace15,crace16
100830,400000,5,7,1,9,1
100830,410000,5,7,1,1,2
100830,420000,5,7,1,9,17
100830,420000,7,7,1,5,13
100830,430000,5,7,1,11,11
100830,430000,7,7,1,5,1
100830,440000,7,7,1,24,13
100830,450000,5,7,3,19,19
100830,450000,7,7,1,18,3
100830,500000,5,7,1,2,4
100830,990000,5,7,1,224,330
100830,990000,7,7,1,71,103
100858,10000,5,7,1,30,5
100858,10000,7,7,2,19,1
100858,10000,9,7,1,1,1
100858,20000,5,7,8,78,28
100858,20000,7,7,8,31,8
100858,20000,9,7,3,10,1
100858,30000,5,7,4,40,5
100858,30000,7,7,4,9,0
100858,30000,9,7,1,1,0
100858,40000,5,7,6,192,30
100858,40000,7,7,1,2,1
100858,60000,5,7,9,362,255
100858,60000,7,7,2,15,6
100858,70000,5,7,1,0,18
100858,80000,5,7,1,1,26
100858,90000,5,7,4,42,100
100858,90000,7,7,1,3,3
100858,110000,5,7,1,14,13
100858,130000,5,7,21,70,241
100858,130000,7,7,28,34,82
100858,130000,9,7,11,15,26
100858,140000,5,7,11,597,101
100858,140000,7,7,7,30,3
100858,140000,9,7,2,3,0
100858,160000,5,7,5,7,22
100858,160000,7,7,2,3,5
100858,170000,5,7,2,7,34
100858,170000,7,7,3,3,17
