unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace13,crace14,crace15,crace16,bal_m,bal_w
100706,"14.0000",7,16,1,0,2,0,0,4,2,1,0,42,13,0,0,63,18,0,0
100706,"18.0000",7,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,18,0,0
100706,"23.0000",7,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,7,0,0
100706,"26.0000",7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
100706,"27.0000",7,2,1,0,0,0,0,0,1,0,0,2,4,0,0,4,6,0,0
100706,"40.0000",7,6,2,0,0,0,0,2,0,0,0,11,3,0,0,19,5,0,0
100706,"44.0000",7,0,0,0,1,0,0,0,0,0,0,3,2,0,0,3,3,0,0
100706,"45.0000",7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
100636,"07.0000",3,8,3,50,30,5,3,17,6,33,18,494,222,13,5,620,287,0,0
100636,"10.0000",3,7,1,42,11,5,1,14,2,27,6,408,80,11,2,514,103,0,0
100636,"11.0000",3,4,0,25,6,2,0,8,1,16,3,243,44,6,1,304,55,0,0
100636,"13.0000",3,7,1,46,11,5,1,15,2,30,6,459,82,12,2,574,105,0,0
100636,"14.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,11,3
100636,"15.0000",3,42,2,264,22,26,2,88,4,173,12,2597,157,68,2,3258,201,0,0
100636,"17.0000",3,5,1,30,15,3,1,10,3,20,9,293,110,8,3,369,142,0,0
100636,"18.0000",3,1,0,4,4,0,0,1,1,3,2,42,23,1,1,52,31,0,0
100636,"19.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,17,10
100636,"20.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,36,13
100636,"22.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,9,22
100636,"31.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,16,2
100636,"41.0000",3,2,0,9,4,1,0,3,0,6,3,93,17,2,1,116,25,0,0
100636,"43.0000",3,10,0,63,5,6,0,21,1,41,3,625,37,16,1,782,47,0,0
100636,"44.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,10
100636,"45.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,24,12
100636,"47.0000",3,2,0,12,4,1,0,4,1,8,2,117,26,3,1,147,34,0,0
100636,"48.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,
100636,"49.0000",3,13,2,82,22,8,2,27,4,54,13,808,163,21,4,1013,210,0,0
100636,"50.0000",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1
100636,"99.0000",3,105,11,649,144,64,11,215,27,426,83,6397,1038,167,24,8171,1411,148,73
100654,"15.0000",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100654,"99.0000",3,0,0,2,,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100654,"01.0000",5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
100654,"02.0000",5,5,0,6,2,0,0,0,0,0,0,1,1,0,0,12,3,0,0
100654,"04.0000",5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
100654,"06.0000",5,4,7,21,57,0,0,1,1,0,0,1,0,0,0,27,65,0,0
100654,"07.0000",5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0
100654,"08.0000",5,0,1,4,13,0,0,0,0,0,0,0,0,0,0,4,14,0,0
100654,"10.0000",5,0,2,7,10,0,0,0,0,0,0,0,0,0,0,7,12,0,0
100654,"11.0000",5,1,0,6,17,0,0,0,0,0,0,1,0,0,0,8,17,0,0
100654,"13.0000",5,0,2,16,28,0,0,0,0,0,0,1,9,0,0,17,39,0,0
100654,"14.0000",5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0
100654,"15.0000",5,6,0,6,5,0,0,5,0,0,0,2,0,0,0,19,5,0,0
100654,"17.0000",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
100654,"18.0000",5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0
100654,"19.0000",5,1,1,0,6,0,0,0,0,0,0,1,1,0,0,2,8,0,0
100654,"23.0000",5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
100654,"26.0000",5,0,2,7,5,0,0,0,0,0,0,0,0,0,0,7,7,0,0
100654,"27.0000",5,0,0,2,6,0,0,0,0,0,0,1,0,0,0,3,6,0,0
100654,"40.0000",5,1,0,5,3,0,0,0,0,0,0,0,1,0,0,6,4,0,0
100654,"42.0000",5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
100654,"44.0000",5,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0
100654,"45.0000",5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0
100654,"48.0000",5,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,4,0,0
100654,"99.0000",5,21,15,93,182,0,0,6,2,0,0,9,16,0,0,129,215,0,0
100654,"02.0000",7,9,3,2,1,0,0,1,0,0,0,0,0,0,0,12,4,0,0
100654,"04.0000",7,1,0,1,2,0,0,0,0,0,0,1,0,0,0,3,2,0,0
100654,"06.0000",7,11,3,11,14,0,0,0,0,1,1,14,4,0,0,37,22,0,0
100654,"11.0000",7,9,7,2,0,0,0,2,1,0,0,0,1,0,0,13,9,0,0
100654,"13.0000",7,0,1,4,24,0,0,1,0,0,0,4,70,0,0,9,95,0,0
100654,"15.0000",7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
100654,"19.0000",7,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
100654,"40.0000",7,1,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0
100654,"42.0000",7,0,0,3,1,0,0,0,0,0,0,2,14,0,0,5,15,0,0
100654,"99.0000",7,38,16,27,42,0,0,5,1,1,1,23,91,0,0,94,151,0,0
100654,"13.0000",8,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0
100654,"99.0000",8,,1,,1,0,0,0,0,0,0,,3,0,0,0,5,0,0
100654,"40.0000",9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
100654,"99.0000",9,0,0,0,0,0,0,2,,0,0,0,0,0,0,2,0,0,0
100663,"17.0000",1,0,0,2,0,2,0,0,0,0,0,151,39,0,0,155,39,0,0
100663,"99.0000",1,0,0,2,,2,,0,0,0,0,151,39,0,0,155,39,0,0
100663,"15.0000",2,0,0,6,0,1,0,0,0,0,0,9,4,0,0,16,4,0,0
100663,"17.0000",2,0,0,5,35,0,0,1,0,0,0,49,75,0,0,55,110,0,0
100663,"99.0000",2,0,0,11,35,1,,1,,0,0,58,79,0,0,71,114,0,0
100663,"06.0000",5,4,5,12,22,0,0,0,0,6,3,153,108,0,0,175,138,0,0
100663,"09.0000",5,0,0,5,1,0,0,0,0,1,0,12,18,0,0,18,19,0,0
100663,"11.0000",5,1,2,5,2,0,0,0,0,1,0,28,3,0,0,35,7,0,0
100663,"13.0000",5,0,3,5,20,0,0,0,0,1,3,28,167,0,0,34,193,0,0
100663,"14.0000",5,5,0,4,2,0,0,0,0,0,0,63,9,0,0,72,11,0,0
100663,"16.0000",5,0,0,0,1,0,0,0,0,0,1,3,2,0,0,3,4,0,0
100663,"17.0000",5,1,0,3,4,0,0,0,0,2,0,14,51,0,0,20,55,0,0
100663,"18.0000",5,0,2,1,32,0,0,0,0,0,0,14,124,0,0,15,158,0,0
100663,"23.0000",5,0,0,0,2,0,0,0,0,0,0,5,25,0,0,5,27,0,0
100663,"26.0000",5,3,0,0,7,0,0,0,0,1,0,30,20,0,0,34,27,0,0
100663,"27.0000",5,1,1,1,0,0,0,0,0,0,0,2,2,0,0,4,3,0,0
100663,"30.0000",5,6,0,0,3,0,0,0,0,0,1,9,2,0,0,15,6,0,0
100663,"38.0000",5,0,0,0,0,0,0,0,0,0,1,2,4,0,0,2,5,0,0
100663,"40.0000",5,0,0,1,1,0,0,0,0,1,0,4,0,0,0,6,1,0,0
100663,"42.0000",5,1,2,2,5,0,0,0,0,0,0,11,36,0,0,14,43,0,0
100663,"43.0000",5,0,0,9,7,0,0,0,0,0,0,23,16,0,0,32,23,0,0
100636,"06.0000",3,4,1,22,10,2,1,7,2,15,6,218,77,6,1,274,98,0,0
100706,"99.0000",7,35,9,1,4,0,0,7,3,1,,100,71,0,0,144,87,0,0
100706,"11.0000",9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
100706,"14.0000",9,4,0,0,0,0,0,3,0,0,0,6,0,0,0,13,0,0,0
100706,"40.0000",9,2,1,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0
100706,"99.0000",9,8,1,0,0,0,0,3,,0,0,7,2,0,0,18,3,0,0
100724,"06.0000",5,2,0,13,22,0,0,0,0,0,0,0,0,0,0,15,22,0,0
100724,"07.0000",5,0,0,2,23,0,0,0,0,0,0,0,0,0,0,2,23,0,0
100724,"09.0000",5,1,1,3,14,0,0,0,0,0,0,0,0,0,0,4,15,0,0
100724,"11.0000",5,0,1,10,16,0,0,0,0,0,0,0,0,0,0,10,17,0,0
100724,"13.0000",5,0,0,11,30,0,0,0,0,0,0,0,0,0,0,11,30,0,0
100724,"23.0000",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
