unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
3462,130000,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3462,170000,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
3462,170000,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
3462,240000,3,0,0,0,0,0,0,0,1,0,0,3,1,3,2,0,0
3462,390000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3462,500000,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3462,990000,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
3462,990000,3,0,0,0,0,0,0,0,1,0,0,6,6,6,7,0,0
3913,500000,3,0,0,3,1,0,0,0,0,0,0,2,0,5,1,0,0
3913,500000,5,0,1,5,3,0,0,0,0,0,0,10,14,15,18,0,0
3913,500000,7,0,0,0,0,0,0,1,0,0,0,7,4,8,4,0,0
3913,990000,3,0,0,3,1,0,0,0,0,0,0,2,0,5,1,0,0
3913,990000,5,0,1,5,3,0,0,0,0,0,0,10,14,15,18,0,0
3913,990000,7,0,0,0,0,0,0,1,0,0,0,7,4,8,4,0,0
4007,10000,1,0,0,5,0,1,0,0,0,1,0,10,5,66,5,49,0
4007,10000,3,0,0,0,0,0,0,0,0,0,0,3,33,3,33,0,0
4007,20000,1,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0
4007,20000,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
4007,40000,3,0,0,0,0,0,0,0,1,0,0,2,10,2,11,0,0
4007,60000,3,0,0,0,2,1,0,1,2,0,1,97,119,100,125,1,1
4007,70000,2,0,0,1,0,0,0,0,0,1,0,2,113,4,113,0,0
4007,70000,3,0,0,0,0,1,0,1,4,1,1,56,146,59,150,0,-1
4007,80000,2,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0
4007,80000,3,0,0,0,1,0,0,0,2,0,0,8,26,8,29,0,0
4007,100000,3,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0
4007,120000,2,0,0,0,0,0,0,0,0,0,0,1,10,2,10,1,0
4007,130000,3,0,0,0,0,0,0,0,1,0,1,41,26,41,28,0,0
4007,150000,3,0,0,0,0,0,0,5,0,0,0,93,7,99,7,1,0
4007,170000,1,0,0,0,0,0,0,0,0,0,0,2,66,3,66,1,0
4007,170000,2,0,0,0,1,0,0,0,2,0,0,8,129,8,132,0,0
4007,170000,3,0,0,0,1,0,0,0,0,1,0,8,71,9,72,0,0
4007,180000,3,0,0,0,1,0,1,0,0,0,1,3,86,3,89,0,0
4007,190000,3,0,0,0,0,0,0,0,0,0,0,1,17,1,17,0,0
4007,200000,1,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,2
4007,200000,2,0,0,1,0,0,0,0,1,0,1,14,28,15,29,0,-1
4007,200000,3,0,0,0,1,0,0,0,0,0,0,12,13,12,14,0,0
4007,240000,3,0,0,1,0,0,0,0,0,1,0,11,12,13,13,0,1
4007,430000,3,0,0,0,0,0,0,1,0,0,0,47,8,48,8,0,0
4007,440000,3,0,0,0,0,0,0,0,0,0,0,1,11,2,11,1,0
4007,470000,2,0,0,0,0,0,0,3,0,0,0,119,2,122,2,0,0
4007,480000,2,0,0,0,0,2,0,0,0,0,0,63,8,66,8,1,0
4007,480000,3,0,0,0,0,0,0,1,0,0,0,43,42,44,42,0,0
4007,990000,1,0,0,5,0,1,0,0,0,1,0,20,77,77,79,50,2
4007,990000,2,0,0,2,2,2,0,3,3,1,1,211,292,221,297,2,-1
4007,990000,3,0,0,1,6,2,1,9,10,3,4,432,633,450,655,3,1
4673,40000,3,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0
4673,60000,2,0,0,0,0,0,0,0,0,0,0,2,4,2,4,0,0
4673,60000,3,1,0,1,6,0,0,0,0,0,0,25,40,27,46,0,0
4673,70000,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
4673,70000,2,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0
4673,70000,3,0,0,0,7,0,0,0,0,0,2,0,115,0,124,0,0
4673,80000,3,0,0,1,2,0,0,0,0,0,0,1,20,2,22,0,0
4673,110000,3,0,0,1,2,0,0,0,0,0,0,15,50,16,52,0,0
4673,140000,3,0,0,2,0,0,0,0,0,0,0,17,1,19,1,0,0
4673,150000,3,0,0,1,0,0,0,0,0,0,0,8,0,9,0,0,0
4673,170000,3,0,0,0,1,0,0,0,0,0,0,0,22,0,23,0,0
4673,500000,3,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0
4673,990000,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
4673,990000,2,0,0,0,0,0,0,0,0,0,0,2,13,2,13,0,0
4673,990000,3,1,0,6,18,0,0,0,0,0,2,66,266,73,286,0,0
5000,10000,2,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0
5000,60000,3,0,0,5,5,0,0,1,2,7,2,31,21,44,30,0,0
5000,70000,2,0,0,1,0,0,0,0,0,0,0,3,30,4,30,0,0
5000,70000,3,0,0,0,3,0,0,1,1,0,0,6,21,7,25,0,0
5000,80000,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
5000,80000,3,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0
5000,110000,3,3,0,0,0,0,0,0,4,1,0,17,10,21,14,0,0
5000,150000,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
5000,150000,3,2,0,1,0,0,0,0,0,0,0,4,3,7,3,0,0
5000,170000,2,0,0,0,0,0,0,0,0,0,0,4,1,4,1,0,0
5000,170000,3,0,0,2,1,0,1,0,0,1,0,5,50,8,52,0,0
5000,200000,3,0,0,0,0,0,0,0,2,0,0,0,9,0,11,0,0
5000,220000,3,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0
5000,240000,3,15,3,63,17,1,0,14,4,23,8,324,196,440,228,0,0
5000,310000,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
5000,310000,3,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0
5000,430000,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5000,430000,3,0,0,0,0,0,0,0,0,0,0,8,3,8,3,0,0
5000,470000,2,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
5000,470000,3,0,0,1,0,0,0,0,0,0,0,5,0,6,0,0,0
5000,480000,2,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0
5000,990000,2,1,0,3,0,0,0,0,0,0,0,25,31,29,31,0,0
5000,990000,3,21,3,75,27,1,1,16,13,32,11,400,317,545,372,0,0
5523,70000,2,0,0,0,0,0,0,0,0,0,0,6,1,6,1,0,0
5523,70000,3,0,0,0,0,0,0,0,0,0,0,25,12,25,12,0,0
5523,150000,2,0,0,1,0,1,0,0,0,0,0,10,0,12,0,0,0
5523,150000,3,1,0,0,0,0,0,0,0,1,0,67,1,69,1,0,0
5523,170000,2,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0
5523,170000,3,0,0,1,0,0,0,0,0,0,0,2,9,3,9,0,0
5523,470000,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
