unitid,cipcode,awlevel,crace15,crace16
101480,500901,5,6,5
101480,500901,7,5,4
101480,990000,5,383,457
101480,990000,7,104,120
101499,70606,3,0,3
101499,170506,3,0,1
101499,170815,3,0,2
101499,181101,3,3,27
101499,240101,3,44,59
101499,430107,3,3,1
101499,990000,3,50,93
101505,10199,3,3,0
101505,60401,3,21,5
101505,60499,3,13,18
101505,61701,3,1,0
101505,61799,2,1,0
101505,69999,3,10,4
101505,70102,3,3,3
101505,70201,3,3,8
101505,70305,3,5,8
101505,70601,3,1,22
101505,70606,3,0,12
101505,70607,2,0,3
101505,70701,3,0,14
101505,70702,2,0,20
101505,80705,3,1,5
101505,80799,3,5,1
101505,81001,3,2,0
101505,81101,3,2,1
101505,90601,3,10,6
101505,120301,3,11,0
101505,140101,3,9,0
101505,150101,3,2,0
101505,150201,3,3,2
101505,150202,3,10,2
101505,150204,3,0,1
101505,150303,3,20,3
101505,170205,3,1,0
101505,170209,3,8,15
101505,170210,3,1,4
101505,170305,3,0,2
101505,170309,3,5,8
101505,170406,3,0,1
101505,170506,3,0,3
101505,170815,3,0,2
101505,181101,3,18,80
101505,200202,3,0,5
101505,200401,3,4,4
101505,200501,3,2,6
101505,240101,3,28,45
101505,310301,3,1,2
101505,430105,3,16,5
101505,430201,3,10,0
101505,500901,3,0,1
101505,990000,2,1,23
101505,990000,3,229,298
101541,40501,5,0,1
101541,60101,5,0,7
101541,60201,5,0,1
101541,130101,5,0,1
101541,131202,5,0,9
101541,181801,5,0,1
101541,189999,5,0,6
101541,190101,5,0,1
101541,220102,5,0,2
101541,230101,5,0,5
101541,260101,5,0,2
101541,270101,5,0,7
101541,310201,5,0,3
101541,380201,5,0,2
101541,400501,5,0,2
101541,420101,5,0,9
101541,451101,5,0,2
101541,500701,5,0,4
101541,500903,5,0,3
101541,990000,5,0,68
101587,60101,5,13,9
101587,60201,5,1,6
101587,60401,5,1,1
101587,70601,3,0,4
101587,110101,5,12,7
101587,130401,7,8,3
101587,130403,7,1,0
101587,130501,7,0,1
101587,131001,7,0,2
101587,131101,7,1,0
101587,131202,5,0,9
101587,131202,7,2,29
101587,131204,5,0,5
101587,131204,7,0,3
101587,131205,7,0,1
101587,131302,5,0,1
101587,131303,5,1,2
101587,131303,7,0,1
101587,131305,5,0,2
101587,131305,7,0,1
101587,131309,5,1,0
101587,131311,5,0,1
101587,131311,7,0,1
101587,131312,5,0,1
101587,131312,7,1,0
101587,131314,5,10,2
101587,131314,7,0,1
101587,131316,5,0,1
101587,131316,7,1,1
101587,131317,5,3,2
101587,170210,3,0,1
101587,170310,5,0,1
101587,181101,3,2,25
101587,230101,5,3,2
101587,260101,5,3,3
101587,270101,5,3,0
101587,300101,5,1,0
101587,309999,5,3,3
101587,450801,5,3,0
101587,451101,5,0,5
101587,990000,3,2,30
101587,990000,5,58,63
101587,990000,7,14,44
1025,70606,3,0,5
1025,240101,3,4,11
1025,990000,3,4,16
101648,240101,3,104,0
101648,990000,3,104,0
101675,60101,5,11,18
101675,90101,5,2,1
101675,131202,5,1,2
101675,131204,5,0,2
101675,230101,5,1,1
101675,260101,5,0,1
101675,270101,5,1,2
101675,400501,5,0,1
101675,440701,5,1,9
101675,450101,5,1,1
101675,451001,5,5,4
101675,451101,5,0,1
101675,990000,5,23,43
101693,60499,5,13,11
101693,131202,5,2,5
101693,131204,5,0,3
101693,131311,5,0,1
101693,181101,3,4,90
101693,181101,5,2,23
101693,260101,5,0,1
101693,270101,5,1,0
101693,380201,5,12,2
101693,390501,5,2,0
