unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100690,"99.0000",7,0,0,0,0,0,0,0,0,0,0,14,,0,,14,
100690,"99.0000",10,0,0,1,,0,0,0,0,0,0,2,,0,,3,
100706,"06.0000",2,0,0,0,0,0,0,1,,0,0,3,2,0,0,4,2
100706,"06.0000",5,,,1,6,0,0,1,,,1,72,105,0,0,74,112
100706,"06.0000",7,1,,,2,0,0,,1,,,15,16,0,0,16,19
100706,"11.0000",5,,,1,,1,,,1,0,0,26,25,0,0,28,26
100706,"11.0000",7,5,1,,,,,2,,0,0,8,13,0,0,15,14
100706,"11.0000",9,,,,,,,,,0,0,2,,0,,2,
100706,"13.0000",5,0,0,0,0,0,0,0,0,0,0,,20,,0,,20
100706,"13.0000",7,0,0,0,0,0,0,0,0,0,0,1,,0,,1,
100706,"14.0000",5,9,,3,5,0,0,8,5,,1,159,59,0,0,179,70
100706,"14.0000",7,6,1,,,0,0,1,1,,,24,3,0,0,31,5
100706,"14.0000",9,3,1,,,0,0,1,,,,3,,0,0,7,1
100706,"16.0000",5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2
100706,"17.0000",1,0,0,1,4,0,0,0,0,0,0,77,38,0,0,78,42
100706,"17.0000",2,0,0,0,1,0,0,0,0,0,0,16,5,0,0,16,6
100706,"18.0000",5,0,0,1,6,0,0,0,0,0,0,3,81,0,0,4,87
100706,"18.0000",7,0,0,,,0,0,0,0,0,0,0,11,0,0,0,11
100706,"23.0000",5,,,0,0,0,0,,1,0,0,9,18,0,0,9,19
100706,"23.0000",7,1,,0,0,0,0,,,0,0,4,3,0,0,5,3
100706,"26.0000",5,0,0,,1,0,0,0,0,0,0,5,14,0,0,5,15
100706,"27.0000",5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,4
100706,"27.0000",7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3
100706,"30.0000",5,0,0,0,0,0,0,0,0,0,0,,1,,0,,1
100706,"31.0000",5,0,0,0,0,0,0,0,0,0,0,1,,0,,1,
100706,"40.0000",5,,,0,0,0,0,,,0,0,5,5,0,0,5,5
100706,"40.0000",7,6,1,0,0,0,0,,1,0,0,5,1,0,0,11,3
100706,"40.0000",9,,1,0,0,0,0,1,,0,0,2,,0,0,3,1
